School Name,Acceptance Rate,SAT Math,SAT Reading and Writing,SAT Composite,ACT Composite,URL
California Institute of Technology,6.40%,795,750,1545,36,http://caltech.edu
Massachusetts Institute of Technology,6.70%,790,745,1535,35,http://mit.edu
Harvey Mudd College,14.50%,790,740,1530,35,http://hmc.edu
Harvard University,4.70%,770,750,1520,34,http://harvard.edu
University of Chicago,7.30%,775,745,1520,34,http://uchicago.edu
Washington University in Saint Louis,15.00%,780,740,1520,34,http://wustl.edu
Yale University,6.10%,770,745,1515,34,http://yale.edu
Carnegie Mellon University,15.40%,780,730,1510,34,http://cmu.edu
Duke University,8.90%,770,740,1510,34,http://duke.edu
Johns Hopkins University,11.50%,770,735,1505,34,http://jhu.edu
Stanford University,4.30%,770,735,1505,34,http://stanford.edu
Columbia University in the City of New York,5.90%,770,735,1505,34,http://columbia.edu
Rice University,11.10%,775,730,1505,34,http://rice.edu
Vanderbilt University,9.60%,775,730,1505,34,http://vanderbilt.edu
Princeton University,5.50%,765,740,1505,34,http://princeton.edu
Franklin W. Olin College of Engineering,15.70%,770,731,1501,34,http://olin.edu
University of Pennsylvania,8.40%,770,730,1500,34,http://upenn.edu
Dartmouth College,7.90%,760,740,1500,34,http://dartmouth.edu
Northwestern University,9.10%,765,730,1495,34,http://northwestern.edu
Brown University,7.70%,755,730,1485,34,http://brown.edu
Cornell University,10.90%,760,720,1480,34,http://cornell.edu
Amherst College,11.30%,755,725,1480,33,http://amherst.edu
Williams College,13.00%,750,729,1479,33,http://williams.edu
University of Notre Dame,17.70%,750,725,1475,34,http://nd.edu
Swarthmore College,9.50%,750,720,1470,32,http://swarthmor.edu
Northeastern University,18.10%,750,715,1465,34,http://northeastern.edu
Pomona College,7.40%,745,720,1465,34,http://pomona.edu
Tufts University,15.00%,750,715,1465,33,http://tufts.edu
Georgia Institute of Technology,22.60%,750,715,1465,33,http://gatech.edu
Grinnell College,24.40%,750,710,1460,32,http://grinnell.edu
Georgetown University,14.50%,735,715,1450,33,http://georgetown.edu
Carleton College,19.00%,740,710,1450,33,http://carleton.edu
Haverford College,18.80%,740,710,1450,33,http://haverford.edu
Middlebury College,15.40%,735,710,1445,33,http://middlebury.edu
Hamilton College,21.30%,730,710,1440,33,http://hamilton.edu
University of Southern California,13.00%,740,700,1440,32,http://usc.edu
Vassar College,24.60%,730,710,1440,32,http://vassar.edu
New York University,16.20%,740,700,1440,32,http://nyu.edu
University of Michigan at Ann Arbor,22.90%,735,700,1435,33,http://umich.edu
Emory University,18.50%,740,695,1435,33,http://emory.edu
Case Western Reserve University,29.30%,745,690,1435,32,http://case.edu
Smith College,31.00%,720,710,1430,32,http://smith.edu
University of Virginia,23.90%,725,705,1430,32,http://virginia.edu
Colby College,13.10%,730,700,1430,32,http://colby.edu
Claremont McKenna College,9.30%,730,697,1427,32,http://cmc.edu
Wellesley College,19.50%,720,705,1425,32,http://wellesley.edu
Boston College,27.20%,725,695,1420,33,http://bc.edu
Boston University,22.10%,730,690,1420,32,http://bu.edu
Washington and Lee University,21.20%,720,700,1420,32,http://wlu.edu
Tulane University,17.30%,720,700,1420,32,http://tulane.edu
Reed College,35.00%,710,710,1420,32,http://reed.edu
University of Rochester,31.40%,750,670,1420,31,http://rochester.edu
Colgate University,24.90%,725,690,1415,33,http://colgate.edu
The College of William and Mary,37.70%,715,700,1415,32,http://wm.edu
Berkeley University of California,14.80%,725,690,1415,31,http://berkeley.edu
The Cooper Union,13.10%,730,683,1413,31,http://cooper.edu
Macalester College,41.20%,720,691,1411,30,http://macalester.edu
Bryn Mawr College,34.10%,710,700,1410,31,http://brynmawr.edu
Pitzer College,13.30%,720,690,1410,31,http://pitzer.edu
The Jewish Theological Seminary,59.70%,690,720,1410,29,http://jtsa.edu
Rensselaer Polytechnic Institute,43.00%,731,678,1409,31,http://rpi.edu
Bowdoin College,10.30%,710,695,1405,32,http://bowdoin.edu
Stevens Institute of Technology,41.40%,730,675,1405,32,http://stevens.edu
University of California Los Angeles,12.30%,715,690,1405,31,http://ucla.edu
Barnard College,13.90%,700,704,1404,31,http://barnard.edu
Mount Holyoke College,50.90%,720,680,1400,31,http://mtholyoke.edu
Brandeis University,31.10%,720,680,1400,31,http://brandeis.edu
Villanova University,28.20%,715,680,1395,33,http://villanova.edu
Wesleyan University,16.30%,700,695,1395,32,http://wesleyan.edu
University of North Carolina,22.60%,705,690,1395,30,http://northcarolina.edu
University of North Carolina at Chapel Hill,22.60%,705,690,1395,30,http://unc.edu
Scripps College,24.20%,690,700,1390,32,http://scrippscollege.edu
Wake Forest University,29.40%,710,680,1390,31,http://wfu.edu
Southern Methodist University,47.30%,710,680,1390,31,http://smu.edu
University of Wisconsin Madison,51.70%,725,665,1390,30,http://wisc.edu
Colorado College,15.00%,700,685,1385,31,http://coloradocollege.edu
Kenyon College,35.80%,690,690,1380,31,http://kenyon.edu
University of Maryland,44.10%,705,675,1380,31,http://umaryland.edu
Bates College,17.80%,700,680,1380,31,http://bates.edu
Trinity College,33.50%,710,670,1380,31,http://trincoll.edu
Worcester Polytechnic Institute,41.60%,710,670,1380,31,http://wpi.edu
University of Richmond,30.20%,700,675,1375,32,http://richmond.edu
Binghamton University,39.80%,695,680,1375,30,http://binghamton.edu
Davidson College,19.50%,690,682,1372,31,http://davidson.edu
The George Washington University,41.90%,690,680,1370,31,http://gwu.edu
Occidental College,37.30%,690,680,1370,30,http://oxy.edu
Babson College,24.40%,710,660,1370,30,http://babson.edu
Lehigh University,32.10%,710,655,1365,31,http://lehigh.edu
Hillsdale College,36.00%,670,693,1363,31,http://hillsdale.edu
Santa Clara University,48.80%,695,665,1360,30,http://scu.edu
Franklin & Marshall College,35.30%,700,660,1360,30,http://fandm.edu
Colorado School of Mines,53.10%,695,665,1360,30,http://mines.edu
University of California San Diego,30.20%,700,660,1360,30,http://ucsd.edu
University of Florida,38.80%,685,675,1360,30,http://ufl.edu
Connecticut College,37.80%,680,678,1358,30,http://conncoll.edu
Rose-Hulman Institute of Technology,60.90%,710,647,1357,30,http://rose-hulman.edu
University of Miami,27.10%,690,665,1355,31,http://miami.edu
Ohio State University,53.70%,710,645,1355,30,http://osu.edu
Ohio State University,53.70%,710,645,1355,30,http://osu.edu
University of Texas at Austin,31.80%,685,670,1355,30,http://utexas.edu
University of California Santa Barbara,32.20%,690,665,1355,29,http://ucsb.edu
University of Minnesota,56.70%,703,649,1352,28,http://umn.edu
University of Pittsburgh,56.70%,685,665,1350,31,http://pitt.edu
Trinity University,34.20%,680,670,1350,30,http://trinity.edu
Union College,38.70%,690,660,1350,30,http://union.edu
University of Texas Dallas,78.60%,690,660,1350,30,http://utdallas.edu
University of Illinois at Urbana-Champaign,62.20%,700,650,1350,29,http://illinois.edu
College of the Holy Cross,34.20%,680,665,1345,30,http://holycross.edu
Holy Cross College,34.20%,680,665,1345,30,http://hcc-nd.edu
University of Washington,48.70%,690,650,1340,30,http://uw.edu
University of Washington,48.70%,690,650,1340,30,http://washington.edu
Fordham University,45.80%,680,660,1340,30,http://fordham.edu
Lawrence University,62.50%,670,670,1340,29,http://lawrence.edu
Bennington College,56.60%,640,700,1340,29,http://bennington.edu
Gettysburg College,45.40%,670,670,1340,28,http://gettysburg.edu
Illinois Institute of Technology,52.70%,710,630,1340,28,http://iit.edu
Bucknell University,33.00%,680,657,1337,30,http://bucknell.edu
North Carolina State University,44.90%,680,655,1335,30,http://ncsu.edu
California Polytechnic State University,30.20%,675,660,1335,29,http://calpoly.edu
Stony Brook University,44.10%,695,640,1335,29,http://stonybrook.edu
Bentley University,43.20%,690,641,1331,30,http://bentley.edu
Sarah Lawrence College,55.80%,650,681,1331,29,http://slc.edu
Saint John’s College (MD),57.60%,650,680,1330,29,http://sjc.edu
Rhodes College,44.60%,660,670,1330,29,http://rhodes.edu
Bard College,64.60%,650,680,1330,29,http://bard.edu
Lafayette College,31.50%,665,660,1325,31,http://lafayette.edu
University of Georgia,48.60%,660,665,1325,30,http://uga.edu
New College of Florida,76.80%,650,674,1324,29,http://ncf.edu
Pepperdine University,35.70%,670,650,1320,29,http://pepperdine.edu
Wheaton College,82.60%,665,650,1315,29,http://wheaton.edu
University of Connecticut,48.80%,670,645,1315,29,http://uconn.edu
Brigham Young University,67.50%,655,660,1315,29,http://byu.edu
Purdue University,59.80%,675,640,1315,29,http://purdue.edu
Clemson University,47.00%,660,650,1310,30,http://clemson.edu
Miami University,83.80%,670,640,1310,29,http://miamioh.edu
University of California Irvine,28.80%,675,635,1310,29,http://uci.edu
Rhose Island School of Design,23.90%,665,645,1310,29,http://risd.edu
Skidmore College,26.90%,660,650,1310,29,http://skidmore.edu
Hobart and William Smith Colleges,61.10%,650,660,1310,28,http://hws.edu
Illinois Wesleyan University,60.90%,690,620,1310,27,http://iwu.edu
Yeshiva University,80.50%,640,670,1310,27,http://yu.edu
New Mexico Institute of Mining and Technology,23.20%,670,640,1310,26,http://nmt.edu
Furman University,61.10%,650,659,1309,29,http://furman.edu
Soka University of America,39.00%,680,625,1305,27,http://soka.edu
Dickinson College,49.10%,650,653,1303,29,http://dickinson.edu
Lewis and Clark College,73.80%,640,663,1303,28,http://lclark.edu
Denison University,33.90%,660,640,1300,30,http://denison.edu
Rochester Institute of Technology,66.00%,665,635,1300,30,http://rit.edu
Centre College,76.30%,660,640,1300,29,http://centre.edu
University of Tulsa,40.80%,650,650,1300,29,http://utulsa.edu
Emerson College,35.60%,650,650,1300,29,http://emerson.edu
American University,31.50%,635,665,1300,29,http://american.edu
Saint Olaf College,49.90%,650,650,1300,29,http://stolaf.edu
Arizona Western College,100.00%,650,650,1300,28,http://azwestern.edu
Rutgers University,60.10%,665,635,1300,28,http://rutgers.edu
Pratt Institute,48.70%,665,635,1300,28,http://pratt.edu
Loyola Marymount University,47.10%,650,646,1296,29,http://lmu.edu
Clark University,59.40%,640,653,1293,30,http://clarku.edu
Baylor University,45.30%,652,641,1293,26,http://baylor.edu
University of Massachusetts Amherst,63.80%,655,635,1290,29,http://umass.edu
Drexel University,74.70%,655,635,1290,28,http://drexel.edu
Hampshire College,62.80%,610,680,1290,27,http://hampshire.edu
New Jersey Institute of Technology,63.70%,660,630,1290,27,http://njit.edu
University of  Maryland Baltimore County,57.90%,640,650,1290,27,http://umbc.edu
Sewanee The University of the South,65.20%,640,646,1286,28,http://sewanee.edu
University of California Santa Cruz,47.70%,655,630,1285,28,http://ucsc.edu
Virginia Polytechnic Institute and State University,64.80%,650,635,1285,28,http://vt.edu
Providence College,47.50%,640,640,1280,29,http://providence.edu
University of San Diego,48.70%,640,640,1280,29,http://sandiego.edu
University of California Davis,41.20%,660,620,1280,28,http://ucdavis.edu
Chapman University,53.60%,640,640,1280,28,http://chapman.edu
University of the Virgin Islands,98.40%,640,640,1280,27,http://uvi.edu
Saint Lawrence University,48.30%,630,648,1278,28,http://stlawu.edu
Texas A&M University,57.50%,645,630,1275,29,http://tamu.edu
Syracuse University,49.90%,645,630,1275,28,http://syr.edu
University of South Carolina,68.60%,635,640,1275,28,http://sc.edu
Saint Louis University,57.50%,640,634,1274,28,http://slu.edu
DigiPen Institute of Technology,57.00%,630,642,1272,27,http://digipen.edu
University of Denver,56.50%,630,640,1270,29,http://du.edu
University of Vermont,67.30%,630,640,1270,29,http://uvm.edu
Wofford College,63.60%,630,640,1270,29,http://wofford.edu
Florida State University,36.00%,630,640,1270,28,http://fsu.edu
University of Alabama in Huntsville,76.30%,630,640,1270,28,http://uah.edu
Earlham College,51.90%,640,630,1270,28,http://earlham.edu
Fairfield University,60.30%,640,630,1270,28,http://fairfield.edu
Kettering University,70.30%,650,620,1270,27,http://kettering.edu
College of the Atlantic,67.90%,600,669,1269,28,http://coa.edu
The College of Wooster,56.40%,640,628,1268,27,http://wooster.edu
Penn State University,49.10%,640,625,1265,28,http://psu.edu
University of Cincinnati,73.10%,640,625,1265,27,http://uc.edu
Calvin College,79.00%,640,625,1265,27,http://calvin.edu
University of Saint Thomas,81.90%,640,625,1265,26,http://stthom.edu
University of Saint Thomas,81.90%,640,625,1265,26,http://stthomas.edu
Mercer University,73.30%,630,633,1263,27,http://mercer.edu
Gonzaga University,65.60%,630,632,1262,28,http://gonzaga.edu
University of Utah,62.10%,635,627,1262,26,http://utah.edu
United States Naval Academy,8.50%,640,620,1260,29,http://usna.edu
The College of New Jersey,49.30%,635,625,1260,28,http://tcnj.edu
University of Delaware,62.40%,630,630,1260,28,http://udel.edu
Kalamazoo College,72.80%,620,640,1260,28,http://kzoo.edu
Clarkson University,71.10%,640,620,1260,27,http://clarkson.edu
Hendrix College,79.80%,640,620,1260,27,http://hendrix.edu
Milwaukee School of Engineering,62.80%,660,600,1260,27,http://msoe.edu
University of Portland,61.90%,620,640,1260,27,http://up.edu
University of the Sciences in Philadelphia,58.00%,630,630,1260,27,http://usciences.edu
Gustavus Adolphus College,67.80%,620,640,1260,27,http://gustavus.edu
Augustana College,59.00%,630,630,1260,27,http://augustana.edu
DePauw University,67.30%,630,630,1260,27,http://depauw.edu
Christendom College,88.80%,600,660,1260,26,http://christendom.edu
University of North Carolina Wilmington,61.20%,630,630,1260,25,http://uncw.edu
University of Central Florida,44.40%,626,633,1259,27,http://ucf.edu
Ithaca College,72.80%,620,635,1255,28,http://ithaca.edu
Indiana University Bloomington,77.90%,630,625,1255,28,http://iub.edu
Creighton University,71.40%,630,624,1254,27,http://creighton.edu
Michigan Technological University,74.50%,640,613,1253,27,http://mtu.edu
University of Colorado Boulder,81.50%,627,625,1252,28,http://colorado.edu
Butler University,67.80%,630,622,1252,27,http://butler.edu
Rollins College,66.60%,620,632,1252,27,http://rollins.edu
Hofstra University,68.50%,630,620,1250,28,http://hofstra.edu
Texas Christian University,47.10%,625,625,1250,28,http://tcu.edu
University of South Florida,42.70%,625,625,1250,27,http://usf.edu
Arizona State University,84.80%,630,620,1250,26,http://asu.edu
Aquinas College,51.90%,590,660,1250,24,http://aquinas.edu
Drake University,67.70%,620,628,1248,27,http://drake.edu
Wheaton College Norton,73.90%,605,640,1245,28,http://wheatoncollege.edu
University at Buffalo,55.90%,635,610,1245,27,http://buffalo.edu
University of Wisconsin Platteville,79.10%,630,615,1245,24,http://uwplatt.edu
Cedarville University,79.40%,610,632,1242,26,http://cedarville.edu
Loyola University Maryland,65.50%,620,620,1240,27,http://loyola.edu
Marquette University,81.70%,620,620,1240,27,http://marquette.edu
The University of Tennessee Knoxville,78.80%,620,620,1240,27,http://tennessee.edu
Covenant College,97.20%,600,640,1240,27,http://covenant.edu
The University of Kansas,93.40%,620,620,1240,26,http://ku.edu
Westmont College,62.40%,610,630,1240,25,http://westmont.edu
University of Nebraska at Lincoln,79.60%,620,620,1240,25,http://unl.edu
Marist College,46.20%,620,618,1238,27,http://marist.edu
University of Massachusetts Lowell,71.70%,630,608,1238,27,http://uml.edu
Elon University,72.10%,620,618,1238,27,http://elon.edu
Temple University,60.00%,618,620,1238,27,http://temple.edu
University of Puget Sound,88.30%,610,627,1237,28,http://pugetsound.edu
Muhlenberg College,48.40%,610,627,1237,27,http://muhlenberg.edu
Auburn University,80.70%,620,615,1235,28,http://auburn.edu
Univeristy of Iowa,82.60%,625,610,1235,26,http://uiowa.edu
University of Dallas,61.00%,610,625,1235,26,http://udallas.edu
University of San Francisco,64.60%,620,613,1233,26,http://usfca.edu
Austin College,55.30%,610,622,1232,25,http://austincollege.edu
Saint Michael’s College,85.10%,610,621,1231,27,http://smcvt.edu
Willamette University,83.60%,620,610,1230,28,http://willamette.edu
Point Loma Nazarene University,68.90%,610,620,1230,27,http://pointloma.edu
Allegheny College,63.60%,610,620,1230,27,http://allegheny.edu
The Catholic University of America,83.70%,610,620,1230,27,http://cua.edu
Southeastern Bible College,100.00%,570,660,1230,26,http://sebc.edu
Seton Hall University,70.40%,615,615,1230,26,http://shu.edu
Mills College,86.70%,580,650,1230,26,http://mills.edu
Dordt College,75.40%,630,600,1230,25,http://dordt.edu
School of the Art Institute of Chicago,48.60%,610,620,1230,25,http://saic.edu
Ursinus College,70.90%,610,618,1228,26,http://ursinus.edu
Seattle University,75.60%,610,617,1227,27,http://seattleu.edu
Florida Institute of Technology,63.50%,630,597,1227,27,http://fit.edu
Southwestern University,45.00%,600,627,1227,26,http://southwestern.edu
Southwestern University,45.00%,600,627,1227,26,https://www.southwestern.edu/
SUNY College of Environmental Science and Forestry,61.40%,610,617,1227,26,http://esf.edu
Washington and Jefferson  College,82.40%,610,616,1226,26,http://washjeff.edu
University of California Riverside,57.00%,620,605,1225,27,http://ucr.edu
Belmont University,83.80%,600,625,1225,27,http://belmont.edu
Universty of Houston,65.00%,615,610,1225,25,http://uh.edu
Bryant University,75.70%,620,601,1221,27,http://bryant.edu
Knox College,74.20%,610,610,1220,27,http://knox.edu
Truman State University,65.30%,610,610,1220,27,http://truman.edu
Simmons College,60.40%,600,620,1220,27,http://simmons.edu
South Dakota School of Mines and Technology,84.50%,650,570,1220,27,http://sdsmt.edu
Saint Anselm College,76.60%,600,620,1220,26,http://anselm.edu
Wabash College,65.00%,620,600,1220,26,http://wabash.edu
King’s College,40.90%,590,630,1220,26,http://kings.edu
Iowa State University,92.10%,625,595,1220,25,http://iastate.edu
Naropa University,100.00%,610,610,1220,25,http://naropa.edu
Touro University California,70.50%,600,620,1220,25,http://tu.edu
Salisbury University,62.20%,610,610,1220,23,http://salisbury.edu
Lake Forest College,57.90%,610,609,1219,27,http://lakeforest.edu
Berry College,61.60%,600,618,1218,26,http://berry.edu
Stetson University,68.40%,600,617,1217,26,http://stetson.edu
Missouri University of Science and Technology,83.50%,640,576,1216,27,http://mst.edu
Loyola University Chicago,67.90%,600,615,1215,28,http://luc.edu
George Mason University,86.70%,605,610,1215,27,http://gmu.edu
San Diego State University,34.00%,610,605,1215,26,http://sdsu.edu
SUNY Geneseo University,64.80%,610,605,1215,26,http://geneseo.edu
Florida Southern College,50.20%,600,614,1214,26,http://flsouthern.edu
Duquesne University,71.80%,600,613,1213,27,http://duq.edu
Howard University,31.60%,593,620,1213,25,http://howard.edu
Drew University,69.20%,600,612,1212,27,http://drew.edu
Embry-Riddle Aeronautical University,65.50%,610,601,1211,25,http://erau.edu
Hope College,84.00%,600,610,1210,27,http://hope.edu
Cornell College,61.00%,600,610,1210,27,http://cornellcollege.edu
University of the Pacific,64.90%,610,600,1210,26,http://pacific.edu
Michigan State University,71.10%,610,600,1210,26,http://msu.edu
The University of Oklahoma,80.40%,605,605,1210,26,http://ou.edu
SUNY New Paltz,41.30%,600,610,1210,25,http://newpaltz.edu
University of Redlands,67.50%,590,620,1210,25,http://redlands.edu
University of Alabama at Birmingham,91.80%,605,605,1210,25,http://uab.edu
Saint Norbert College,77.70%,605,605,1210,25,http://snc.edu
Oglethorpe University,61.60%,590,620,1210,25,http://oglethorpe.edu
LeTourneau University,45.50%,610,600,1210,25,http://letu.edu
Montana Tech of the University of Montana,91.50%,620,590,1210,24,http://mtech.edu
Otterbein University,82.50%,600,610,1210,23,http://otterbein.edu
Maryland Institute College of Art,64.30%,600,608,1208,25,http://mica.edu
Agnes Scott College,70.40%,580,627,1207,26,http://agnesscott.edu
Saint Joseph’s University,76.30%,600,606,1206,26,http://sju.edu
James Madison University,71.10%,595,610,1205,26,http://jmu.edu
Christopher Newport University,67.80%,590,613,1203,26,http://cnu.edu
Messiah College,78.90%,600,602,1202,26,http://messiah.edu
Grove City College,92.90%,570,631,1201,27,http://gcc.edu
Whitman College,51.70%,600,600,1200,29,http://whitman.edu
John Brown University,75.80%,580,620,1200,27,http://jbu.edu
Ohio Northern University,66.10%,610,590,1200,26,http://onu.edu
Concordia College,65.10%,580,620,1200,26,http://cord.edu
Birmingham-Southern College,65.10%,590,610,1200,26,http://bsc.edu
Goucher College,79.20%,570,630,1200,25,http://goucher.edu
Coe College,56.20%,610,590,1200,25,http://coe.edu
Oklahoma City University,71.70%,590,610,1200,25,http://okcu.edu
Montana State University,82.90%,590,610,1200,25,http://montana.edu
University of Evansville,70.00%,600,600,1200,25,http://evansville.edu
Montana University System,82.90%,590,610,1200,25,http://mus.edu
Andrews University,57.70%,600,599,1199,25,http://andrews.edu
Georgia College,77.80%,590,608,1198,25,http://gcsu.edu
Milligan College,83.40%,600,598,1198,25,http://milligan.edu
Juniata College,70.20%,600,597,1197,30,http://juniata.edu
University of Arizona,84.40%,610,586,1196,25,http://arizona.edu
University of Arkansas,77.50%,590,605,1195,26,http://uark.edu
Bradley University,66.80%,600,595,1195,26,http://bradley.edu
Florida International University,57.50%,585,610,1195,26,http://fiu.edu
Oregon State University,80.60%,600,595,1195,25,http://oregonstate.edu
University of North Carolina Charlotte,67.20%,600,595,1195,24,http://uncc.edu
University of Kentucky,94.50%,590,600,1190,26,http://uky.edu
Drury University,73.00%,610,580,1190,26,http://drury.edu
The University of Louisville,72.90%,590,600,1190,26,http://louisville.edu
University of Missouri - Columbia,77.80%,590,600,1190,26,http://missouri.edu
The University of Scranton,75.80%,590,600,1190,25,http://scranton.edu
Saint Edward’s University,73.90%,570,620,1190,25,http://stedwards.edu
Whitworth University,90.80%,590,600,1190,25,http://whitworth.edu
Carroll College,71.50%,580,610,1190,25,http://carroll.edu
Salem College,59.80%,570,620,1190,24,http://salem.edu
Seattle Pacific University,90.90%,570,620,1190,24,http://spu.edu
University of North Carolina School of the Arts,38.20%,580,607,1187,25,http://uncsa.edu
Champlain College,75.40%,580,605,1185,25,http://champlain.edu
University of Oregon,83.40%,585,600,1185,25,http://uoregon.edu
Appalachian State University,76.80%,585,600,1185,25,http://appstate.edu
Nova Southeastern University,78.50%,585,600,1185,25,http://nova.edu
University of Alabama,59.10%,589,594,1183,27,http://ua.edu
Roger Williams University,82.30%,590,593,1183,26,http://rwu.edu
University of New Hampshire,76.80%,590,593,1183,25,http://unh.edu
Dallas Baptist University,88.10%,580,602,1182,22,http://dbu.edu
Louisiana State University,74.20%,590,590,1180,26,http://lsu.edu
Colorado State University,81.40%,585,595,1180,26,http://colostate.edu
State University of New Institute of Technology,64.80%,600,580,1180,26,http://sunyit.edu
Washington College,74.40%,580,600,1180,26,http://washcoll.edu
University of Dayton,72.00%,590,590,1180,26,http://udayton.edu
Harding University,67.90%,580,600,1180,26,http://harding.edu
Nazareth College,63.60%,590,590,1180,25,http://naz.edu
DePaul University,68.20%,585,595,1180,25,http://depaul.edu
Saint Mary’s College,81.60%,570,610,1180,25,http://saintmarys.edu
Elizabethtown College,74.00%,590,590,1180,25,http://etown.edu
Mississippi State University,73.40%,580,600,1180,25,http://mssstate.edu
Susquehanna University,73.20%,580,600,1180,25,http://susqu.edu
Saint Mary’s College of Maryland,80.10%,580,600,1180,25,http://smcm.edu
Warren Wilson College,83.80%,560,620,1180,25,http://warren-wilson.edu
